label: RS XY (Scalar_field_XY)
elapsed_s: 1.337414
python_current_mib: 79.9560
python_peak_mib: 383.6899
rss_delta_mib: 80.4023

[cprofile]
         217 function calls (206 primitive calls) in 1.337 seconds

   Ordered by: cumulative time
   List reduced from 60 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.013    0.006    1.337    1.337 utils_common.py:33(wrapper)
        1    0.000    0.000    1.337    1.337 scalar_fields_XY.py:1150(RS)
        1    0.101    0.101    1.320    1.320 scalar_fields_XY.py:1038(_RS_)
        3    0.000    0.000    0.843    0.281 basic.py:126(c2cn)
        3    0.842    0.281    0.842    0.281 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
        2    0.000    0.000    0.552    0.276 _basic.py:372(fft2)
        2    0.000    0.000    0.552    0.276 _basic.py:277(fftn)
        1    0.359    0.359    0.359    0.359 scalar_fields_XY.py:3137(kernelRS)
        1    0.000    0.000    0.290    0.290 _basic.py:400(ifft2)
        1    0.000    0.000    0.290    0.290 _basic.py:340(ifftn)
        2    0.000    0.000    0.018    0.009 function_base.py:5011(meshgrid)
        4    0.017    0.004    0.017    0.004 {method 'copy' of 'numpy.ndarray' objects}
       12    0.005    0.000    0.005    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.005    0.005 scalar_fields_XY.py:128(__init__)
        2    0.000    0.000    0.001    0.000 stride_tricks.py:480(broadcast_arrays)
        3    0.000    0.000    0.000    0.000 helper.py:47(_init_nd_shape_and_axes)
        4    0.000    0.000    0.000    0.000 stride_tricks.py:340(_broadcast_to)
        3    0.000    0.000    0.000    0.000 helper.py:22(_iterable_of_int)
        1    0.000    0.000    0.000    0.000 utils_common.py:690(get_date)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 helper.py:114(_asfarray)
        3    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
      6/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      6/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 helper.py:146(_fix_shape)
        2    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}


